state,index,life,obesity,income,education,color
Hawaii,71.1,81.5,25.7,61821,90.6,#637939
Colorado,69.7,79.9,18.7,55387,90.2,#de9ed6
Minnesota,69,80.9,24.7,56954,92,GoldenRod
Utah,68.9,80.1,23.9,55869,90.3,MediumOrchid
Vermont,68.8,79.7,25.7,52776,91.8,Peru
Montana,68.6,78.4,22,44222,92.3,Maroon
Nebraska,68.5,79.2,27.9,50296,91,MistyRose
New Hampshire,68.4,79.7,25.1,62647,91.4,#a55194
Iowa,68.2,79.68,29,49427,90.6,IndianRed
Massachusetts,68.1,80.1,21.5,62859,89.2,YellowGreen
Maryland,68,78.1,27,70004,88.9,BurlyWood
South Dakota,67.9,79.9,26.3,48321,90.6,DarkSlateGray
Wyoming,67.8,77.6,24.7,56322,92,Wheat
Virginia,67.75,78.5,26.2,61882,87.8,Teal
Washington,67.7,79.65,24.4,56835,90.1,Tomato
Connecticut,67.6,80.2,22.7,65753,89.1,RosyBrown
Kansas,67.5,78.4,26.3,48964,90,#9cb7a3
California,67.4,80.4,23.1,57287,81.1,SeaGreen
North Dakota,67.3,80.1,27.8,51704,90.7,Plum
Wisconsin,67.25,79.3,27.1,50395,90.4,PaleGoldenRod
Maine,67.2,78.7,27.4,46033,90.9,OrangeRed
Idaho,67.15,79.2,24.4,43341,88.6,OliveDrab
Arizona,67.1,79.9,24.1,46709,85.7,Chartreuse
Oregon,67,79,25.4,46816,89.4,NavajoWhite
New Mexico,66.8,78.2,24.6,41963,82.3,MediumVioletRed
Delaware,66.7,78.3,26.3,58814,87,MediumTurquoise
Texas,66.6,78.3,28.9,49392,81.1,DarkOliveGreen
Illinois,66.5,78.8,26,52234,87.2,MediumPurple
Pennsylvania,66.5,78.2,27.9,50228,88.6,Orchid
New York,66.2,80.4,24.9,55246,85,LimeGreen
Alaska,66.1,78.3,26.4,67825,91.8,#00cc99
New Jersey,66,79.66,24.4,67458,88.1,LightSlateGray
Georgia,65.9,77.1,28.6,46007,84.3,LightGoldenRodYellow
Florida,65.8,79.7,25.1,44299,86.9,LightCoral
North Carolina,65.7,77.2,28.9,43916,84.7,GoldenRod
Michigan,65.6,77.9,28.5,45918,88.8,Gold 
Rhode Island,65.5,79.3,24.3,53636,84.8,#ff6699
Missouri,65.4,77.4,27.2,45247,87.6,ForestGreen
Nevada,65.3,77.6,24.9,48927,84,FireBrick
South Carolina,65.2,76.6,27.9,42367,84.2,DarkOrange
Oklahoma,65.1,75.6,29.2,43225,86.3,DarkKhaki
Indiana,65,77.7,28.8,46438,87.3,DarkCyan
Louisiana,64.7,75.4,30.9,41734,82.5,Khaki
Ohio,64.6,77.5,29.5,45749,88.3,#FFb870
Alabama,64.2,75.2,30.4,41415,82.7,Chocolate
Arkansas,64.1,76.1,31.4,38758,83.8,BlueViolet
Tennessee,64,76.2,29.6,41693,84.2,BlanchedAlmond
Mississippi,63.6,74.8,32.2,36919,81.1,HotPink
Kentucky,62.7,76.2,29.7,41141,83.1,#CC33CC
West Virgnina,61.3,75.2,33.5,38482,84.2,Indigo
